slug,originalTitle,originalLanguage,artist_slugs,releaseDate,variantLabel,baseVersion_slug,ja_title,ja_variantLabel,ko_title,ko_variantLabel,en_title,en_variantLabel,sourceNote,album_slug,disc_number,track_number
knot-tsuzuri,KNOT,ja,tsuzuri-solo,2025-06-04,Tsuzuri Solo Ver.,knot,,,,,,,,star-sign-memories-tsuzuri,1,7
ao-to-shabon-tsuzuri,青とシャボン,ja,tsuzuri-solo,2025-06-04,Tsuzuri Solo Ver.,ao-to-shabon,,,푸름과 비눗방울,,Ao to Shabon,,,star-sign-memories-tsuzuri,1,8
ladybug-tsuzuri,レディバグ,ja,tsuzuri-solo,2025-06-04,Tsuzuri Solo Ver.,ladybug,,,레이디버그,,Ladybug,,,star-sign-memories-tsuzuri,2,1
proof-tsuzuri,Proof,ja,tsuzuri-solo,2025-06-04,Tsuzuri Solo Ver.,proof,,,,,,,,star-sign-memories-tsuzuri,2,2
birdcage-tsuzuri,バアドケージ,ja,tsuzuri-solo,2025-06-04,Tsuzuri Solo Ver.,birdcage,,,버드케이지,,Birdcage,,,star-sign-memories-tsuzuri,2,3
compass-tsuzuri,COMPASS,ja,tsuzuri-solo,2025-06-04,Tsuzuri Solo Ver.,compass,,,,,,,,star-sign-memories-tsuzuri,2,4
tsubasa-la-liberte-tsuzuri,ツバサ・ラ・リベルテ,ja,tsuzuri-solo,2025-06-04,Tsuzuri Solo Ver.,tsubasa-la-liberte,,,츠바사 라 리베르테,,Tsubasa La Liberte,,,star-sign-memories-tsuzuri,2,5
deepness-tsuzuri,DEEPNESS,ja,tsuzuri-solo,2025-06-04,Tsuzuri Solo Ver.,deepness,,,,,,,,star-sign-memories-tsuzuri,2,6
dream-believers-sakura-tsuzuri,Dream Believers,ja,tsuzuri-solo,2025-06-04,SAKURA Tsuzuri Solo Ver.,dream-believers,,,,,,,,star-sign-memories-tsuzuri,2,7
shiawase-no-ribbon,幸せのリボン,ja,tsuzuri-solo,2025-06-04,,,,,행복의 리본,,Shiawase no Ribbon,,,star-sign-memories-tsuzuri,2,8
do-do-do-megumi,ド！ド！ド！,ja,megumi-solo,2025-06-04,Megumi Solo Ver.,do-do-do,,,도! 도! 도!,,Do! Do! Do!,,,star-sign-memories-megumi,1,1
